epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,10527.8,0.70945,0.40141,0.99223,0.78673,0.75035,0.8029,0.4854,1.40483,0.8835,1.5173,0.00131402,0.00131402,0.00131402
105,10627.9,0.69957,0.39909,0.99046,0.76478,0.77438,0.80609,0.48621,1.40273,0.88553,1.51807,0.00130736,0.00130736,0.00130736
106,10727.9,0.70416,0.39751,0.99001,0.76142,0.77377,0.80501,0.48748,1.40559,0.88655,1.52548,0.0013007,0.0013007,0.0013007
107,10827.7,0.70129,0.40013,0.98988,0.75409,0.7801,0.80722,0.48808,1.40712,0.88224,1.52835,0.00129404,0.00129404,0.00129404
108,10927.7,0.69689,0.39619,0.98583,0.75554,0.77237,0.80699,0.48893,1.40562,0.88104,1.53536,0.00128738,0.00128738,0.00128738
109,11027.6,0.68656,0.38406,0.9835,0.79581,0.73613,0.80857,0.48996,1.40251,0.88055,1.53553,0.00128072,0.00128072,0.00128072
110,11127.5,0.68872,0.38688,0.9804,0.79599,0.73959,0.81112,0.49168,1.40387,0.88022,1.54091,0.00127406,0.00127406,0.00127406
111,11231,0.67517,0.38404,0.9779,0.80658,0.73209,0.81195,0.49293,1.40007,0.87998,1.53646,0.0012674,0.0012674,0.0012674
112,11334.7,0.67914,0.38005,0.97851,0.78259,0.75393,0.8116,0.49276,1.39964,0.88115,1.54235,0.00126074,0.00126074,0.00126074
113,11435.1,0.67988,0.37998,0.97878,0.77617,0.76292,0.81189,0.49279,1.40084,0.88045,1.5457,0.00125408,0.00125408,0.00125408
114,11535.1,0.66176,0.37394,0.96793,0.77388,0.7639,0.81141,0.49347,1.40019,0.88099,1.54625,0.00124742,0.00124742,0.00124742
115,11638.6,0.65428,0.37146,0.96495,0.7805,0.76043,0.81145,0.4934,1.40009,0.88008,1.55042,0.00124076,0.00124076,0.00124076
116,11738.6,0.65569,0.37337,0.96646,0.77936,0.75992,0.81209,0.49336,1.40081,0.88084,1.55662,0.0012341,0.0012341,0.0012341
117,11838.5,0.65432,0.37113,0.96372,0.7761,0.76603,0.81214,0.49507,1.4017,0.882,1.55625,0.00122744,0.00122744,0.00122744
118,11942.1,0.64612,0.36913,0.95916,0.78329,0.75711,0.81072,0.49506,1.40092,0.88406,1.55672,0.00122078,0.00122078,0.00122078
119,12042.2,0.65409,0.37095,0.96588,0.77901,0.7628,0.81,0.49476,1.40069,0.88349,1.55808,0.00121412,0.00121412,0.00121412
120,12142.2,0.64301,0.36385,0.96013,0.78183,0.76257,0.80942,0.49381,1.39873,0.88301,1.55568,0.00120746,0.00120746,0.00120746
121,12242.1,0.63921,0.36078,0.95727,0.79112,0.7499,0.8099,0.49403,1.39898,0.8837,1.5582,0.0012008,0.0012008,0.0012008
122,12342.2,0.63825,0.36429,0.95442,0.79424,0.75213,0.80969,0.49398,1.39893,0.88346,1.56194,0.00119414,0.00119414,0.00119414
123,12442.2,0.62896,0.35455,0.95209,0.79476,0.75008,0.80919,0.49409,1.39963,0.883,1.56746,0.00118748,0.00118748,0.00118748
124,12542.3,0.62551,0.35494,0.94844,0.79029,0.75372,0.8077,0.49548,1.39742,0.8846,1.56472,0.00118082,0.00118082,0.00118082
125,12645.8,0.62276,0.35386,0.94766,0.7801,0.76329,0.80779,0.49548,1.39694,0.88493,1.56671,0.00117416,0.00117416,0.00117416
126,12749.3,0.6159,0.3488,0.94531,0.78237,0.7602,0.80616,0.49437,1.39646,0.88417,1.56856,0.0011675,0.0011675,0.0011675
127,12849.4,0.61222,0.34843,0.94317,0.78777,0.75424,0.80652,0.49363,1.395,0.88518,1.56778,0.00116084,0.00116084,0.00116084
128,12949.3,0.61087,0.34573,0.93887,0.76516,0.77881,0.80624,0.49358,1.39401,0.88815,1.56628,0.00115418,0.00115418,0.00115418
129,13049.4,0.60438,0.34479,0.93459,0.76643,0.77738,0.80659,0.49384,1.39431,0.88818,1.56864,0.00114752,0.00114752,0.00114752
130,13149.3,0.60276,0.34092,0.93836,0.76621,0.77757,0.80688,0.4942,1.3944,0.88805,1.56984,0.00114086,0.00114086,0.00114086
131,13249.5,0.60515,0.34176,0.94141,0.77495,0.7608,0.80681,0.49415,1.39476,0.8875,1.5719,0.0011342,0.0011342,0.0011342
132,13349.6,0.60012,0.3418,0.93676,0.77589,0.76337,0.80655,0.49443,1.39468,0.88601,1.57268,0.00112754,0.00112754,0.00112754
133,13449.7,0.59356,0.33732,0.9309,0.78661,0.75743,0.80663,0.49496,1.39531,0.88624,1.57574,0.00112088,0.00112088,0.00112088
134,13549.8,0.59843,0.3369,0.93766,0.78506,0.75759,0.807,0.49516,1.39475,0.88526,1.57634,0.00111422,0.00111422,0.00111422
135,13649.7,0.58505,0.33441,0.92719,0.78911,0.75684,0.80781,0.49614,1.3943,0.88544,1.57596,0.00110756,0.00110756,0.00110756
136,13753.2,0.58328,0.33163,0.92673,0.78674,0.75869,0.80869,0.49649,1.39395,0.88601,1.57637,0.0011009,0.0011009,0.0011009
137,13856.9,0.58522,0.32931,0.93088,0.78579,0.75982,0.80905,0.49569,1.39332,0.88703,1.57726,0.00109424,0.00109424,0.00109424
138,13956.9,0.57372,0.32934,0.92658,0.78191,0.7598,0.80877,0.49611,1.39349,0.8861,1.57931,0.00108758,0.00108758,0.00108758
139,14057,0.57418,0.32669,0.9244,0.78084,0.76027,0.80929,0.49621,1.39324,0.88531,1.58174,0.00108092,0.00108092,0.00108092
140,14157,0.57074,0.32504,0.92089,0.78025,0.76105,0.81003,0.49645,1.39193,0.88541,1.57895,0.00107426,0.00107426,0.00107426
141,14257.1,0.56653,0.32231,0.91561,0.75999,0.7785,0.80983,0.49639,1.39051,0.88618,1.57838,0.0010676,0.0010676,0.0010676
142,14357.5,0.56536,0.32162,0.92003,0.76088,0.7784,0.80939,0.49699,1.38966,0.88629,1.57501,0.00106094,0.00106094,0.00106094
143,14461.1,0.5595,0.31966,0.91763,0.75842,0.78063,0.81026,0.49723,1.38917,0.88821,1.57541,0.00105428,0.00105428,0.00105428
144,14564.7,0.55922,0.31865,0.91438,0.75999,0.78103,0.81007,0.4978,1.38951,0.88864,1.57752,0.00104762,0.00104762,0.00104762
145,14668.2,0.55719,0.31891,0.91731,0.75914,0.7831,0.81104,0.49837,1.39076,0.88796,1.58213,0.00104096,0.00104096,0.00104096
146,14771.4,0.55221,0.31611,0.91502,0.75777,0.78359,0.80967,0.49902,1.39139,0.88856,1.58458,0.0010343,0.0010343,0.0010343
147,14875.2,0.55276,0.31805,0.91453,0.7589,0.78245,0.80998,0.49904,1.39224,0.88931,1.5867,0.00102764,0.00102764,0.00102764
148,14978.4,0.5471,0.31492,0.90937,0.76055,0.78127,0.8094,0.49949,1.39242,0.88939,1.58879,0.00102098,0.00102098,0.00102098
149,15082,0.53914,0.31053,0.90804,0.76323,0.77815,0.80884,0.49941,1.39307,0.89132,1.59141,0.00101432,0.00101432,0.00101432
150,15182,0.54368,0.31171,0.90918,0.76398,0.7785,0.80959,0.4989,1.39302,0.89079,1.5928,0.00100766,0.00100766,0.00100766
151,15281.9,0.54149,0.31,0.90641,0.76203,0.77978,0.81032,0.499,1.39214,0.89214,1.59278,0.001001,0.001001,0.001001
152,15382,0.54376,0.30855,0.90684,0.76171,0.78222,0.81082,0.49962,1.39282,0.89165,1.59504,0.00099434,0.00099434,0.00099434
153,15485.4,0.52952,0.30596,0.9013,0.76017,0.78301,0.81049,0.5,1.39206,0.8915,1.59575,0.00098768,0.00098768,0.00098768
154,15589.1,0.52828,0.30373,0.89841,0.75693,0.78507,0.8107,0.50066,1.39172,0.89057,1.59801,0.00098102,0.00098102,0.00098102
155,15692.5,0.52643,0.30078,0.89907,0.75738,0.78459,0.8112,0.50067,1.39241,0.89134,1.60035,0.00097436,0.00097436,0.00097436
156,15795.8,0.52158,0.29934,0.89857,0.75965,0.78457,0.81146,0.50133,1.39265,0.89126,1.60375,0.0009677,0.0009677,0.0009677
157,15899.2,0.5178,0.29943,0.89941,0.75716,0.78714,0.81234,0.50076,1.39398,0.89204,1.60775,0.00096104,0.00096104,0.00096104
158,15999.2,0.52094,0.29827,0.89525,0.75835,0.78622,0.8116,0.50068,1.39448,0.89157,1.61053,0.00095438,0.00095438,0.00095438
159,16099.2,0.5169,0.29719,0.89672,0.75798,0.7858,0.81138,0.50045,1.39498,0.89202,1.61311,0.00094772,0.00094772,0.00094772
160,16199.4,0.51488,0.29882,0.89499,0.75941,0.78459,0.81182,0.50092,1.39524,0.8929,1.61535,0.00094106,0.00094106,0.00094106
161,16299.4,0.5127,0.29854,0.89442,0.75989,0.78469,0.81108,0.5019,1.39559,0.89339,1.61696,0.0009344,0.0009344,0.0009344
162,16403.1,0.51276,0.29596,0.89681,0.75892,0.78558,0.81102,0.50145,1.39618,0.89309,1.61931,0.00092774,0.00092774,0.00092774
163,16503,0.50582,0.2935,0.88986,0.76248,0.78294,0.81093,0.50145,1.39602,0.89219,1.6201,0.00092108,0.00092108,0.00092108
164,16602.9,0.50276,0.29246,0.88546,0.76221,0.78426,0.81146,0.50159,1.39543,0.89253,1.62012,0.00091442,0.00091442,0.00091442
165,16702.9,0.49551,0.29022,0.88474,0.76251,0.78553,0.81145,0.50157,1.39522,0.89159,1.62207,0.00090776,0.00090776,0.00090776
166,16803.1,0.49818,0.28953,0.88717,0.76244,0.78554,0.81164,0.5022,1.39538,0.8923,1.62293,0.0009011,0.0009011,0.0009011
167,16906.3,0.49406,0.28918,0.88618,0.76321,0.78358,0.81156,0.50209,1.39483,0.8921,1.62221,0.00089444,0.00089444,0.00089444
168,17006.2,0.49836,0.28815,0.88591,0.76354,0.78566,0.81234,0.50253,1.39419,0.89223,1.62194,0.00088778,0.00088778,0.00088778
169,17109.6,0.4967,0.28752,0.88766,0.76169,0.78655,0.81184,0.50234,1.39395,0.89225,1.62233,0.00088112,0.00088112,0.00088112
170,17209.6,0.4866,0.28558,0.88321,0.76108,0.78615,0.81131,0.50219,1.39445,0.89171,1.62365,0.00087446,0.00087446,0.00087446
171,17309.7,0.48814,0.28279,0.88182,0.76186,0.78919,0.81182,0.50209,1.39456,0.89173,1.62502,0.0008678,0.0008678,0.0008678
