epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,16365.7,0.88197,0.53197,1.35914,0.78231,0.76881,0.81491,0.48377,1.45003,0.8914,1.94882,0.0012674,0.0012674,0.0012674
112,16512.3,0.87837,0.53557,1.36031,0.7818,0.77346,0.81601,0.48434,1.4514,0.89326,1.95358,0.00126074,0.00126074,0.00126074
113,16658.5,0.86922,0.52792,1.35135,0.78068,0.772,0.81509,0.48561,1.44567,0.89314,1.9509,0.00125408,0.00125408,0.00125408
114,16805,0.86693,0.52929,1.34936,0.78377,0.76695,0.81594,0.48626,1.44688,0.89125,1.95599,0.00124742,0.00124742,0.00124742
115,16951.1,0.86013,0.52189,1.34104,0.7752,0.78058,0.81614,0.48555,1.44636,0.89121,1.95686,0.00124076,0.00124076,0.00124076
116,17097.2,0.86438,0.51999,1.34487,0.77913,0.77916,0.81467,0.48465,1.44551,0.89142,1.96052,0.0012341,0.0012341,0.0012341
117,17243.3,0.85175,0.51484,1.33225,0.77541,0.78066,0.81293,0.48403,1.44714,0.89471,1.96307,0.00122744,0.00122744,0.00122744
118,17389.3,0.84792,0.51579,1.32644,0.7703,0.77948,0.81121,0.48317,1.44905,0.89579,1.96748,0.00122078,0.00122078,0.00122078
119,17535.2,0.84887,0.51375,1.32928,0.77495,0.7752,0.81187,0.48347,1.44841,0.895,1.97203,0.00121412,0.00121412,0.00121412
120,17681.6,0.85081,0.51696,1.33612,0.78932,0.76289,0.81248,0.48307,1.44862,0.89612,1.97739,0.00120746,0.00120746,0.00120746
121,17828,0.84177,0.51415,1.32414,0.78854,0.76358,0.81236,0.48215,1.45093,0.89431,1.98152,0.0012008,0.0012008,0.0012008
122,17974.5,0.83834,0.50556,1.32351,0.78784,0.76749,0.81286,0.48296,1.45002,0.89106,1.9832,0.00119414,0.00119414,0.00119414
123,18120.7,0.83515,0.50489,1.31635,0.78484,0.76375,0.81218,0.48389,1.45036,0.89165,1.98791,0.00118748,0.00118748,0.00118748
124,18266.8,0.8242,0.50176,1.31089,0.7836,0.76781,0.81376,0.48312,1.45062,0.89217,1.99238,0.00118082,0.00118082,0.00118082
125,18412.7,0.81967,0.4994,1.30335,0.77979,0.77147,0.81188,0.48406,1.44893,0.89055,1.99174,0.00117416,0.00117416,0.00117416
126,18559.5,0.81908,0.49523,1.30238,0.7811,0.76864,0.81244,0.48399,1.44868,0.89165,1.99653,0.0011675,0.0011675,0.0011675
127,18705.5,0.80897,0.4889,1.29265,0.78409,0.76679,0.81247,0.48546,1.44849,0.89325,1.99769,0.00116084,0.00116084,0.00116084
128,18852,0.80703,0.49158,1.28977,0.78668,0.7647,0.8131,0.48468,1.44755,0.89335,2.00043,0.00115418,0.00115418,0.00115418
129,18998,0.80715,0.49195,1.28907,0.7849,0.76717,0.81246,0.4851,1.44998,0.89602,2.00825,0.00114752,0.00114752,0.00114752
130,19144.1,0.80507,0.48536,1.28658,0.78268,0.76712,0.81147,0.4854,1.45027,0.89528,2.0124,0.00114086,0.00114086,0.00114086
131,19289.9,0.79476,0.48058,1.28062,0.7781,0.77421,0.81095,0.48659,1.44871,0.89357,2.01513,0.0011342,0.0011342,0.0011342
132,19436.5,0.7931,0.48594,1.27464,0.78409,0.76576,0.81072,0.48665,1.44873,0.89228,2.02032,0.00112754,0.00112754,0.00112754
133,19582.5,0.79442,0.48135,1.28061,0.78632,0.76623,0.81209,0.48743,1.44889,0.89041,2.02343,0.00112088,0.00112088,0.00112088
134,19731.7,0.79365,0.48187,1.28212,0.78667,0.76033,0.81211,0.4881,1.44867,0.88974,2.02481,0.00111422,0.00111422,0.00111422
135,19881.1,0.78873,0.47902,1.27113,0.7878,0.76396,0.81212,0.48839,1.44827,0.88983,2.02647,0.00110756,0.00110756,0.00110756
136,20030.2,0.78157,0.47645,1.27111,0.78635,0.7639,0.81232,0.48845,1.44845,0.88878,2.03055,0.0011009,0.0011009,0.0011009
137,20179.4,0.77189,0.47281,1.25644,0.788,0.76346,0.81233,0.48794,1.44726,0.886,2.03166,0.00109424,0.00109424,0.00109424
138,20326,0.77348,0.46734,1.26386,0.78739,0.7629,0.81133,0.4878,1.44605,0.88418,2.0332,0.00108758,0.00108758,0.00108758
139,20471.8,0.78105,0.47097,1.26646,0.78075,0.77008,0.81208,0.48764,1.44653,0.8845,2.03712,0.00108092,0.00108092,0.00108092
140,20617.8,0.77333,0.47235,1.26085,0.77581,0.7731,0.81196,0.48808,1.44752,0.88441,2.04133,0.00107426,0.00107426,0.00107426
141,20764.2,0.77419,0.46819,1.26092,0.77247,0.77458,0.8114,0.48804,1.44847,0.88435,2.04601,0.0010676,0.0010676,0.0010676
142,20910.4,0.76198,0.46279,1.24877,0.7702,0.77877,0.8112,0.48709,1.44857,0.88479,2.04844,0.00106094,0.00106094,0.00106094
143,21057,0.75868,0.46336,1.24403,0.77998,0.76685,0.81027,0.48603,1.45013,0.8865,2.05516,0.00105428,0.00105428,0.00105428
144,21203.5,0.75593,0.4651,1.2439,0.78136,0.76196,0.8099,0.48602,1.44979,0.88829,2.05515,0.00104762,0.00104762,0.00104762
145,21349.9,0.75264,0.45589,1.23875,0.78995,0.75887,0.80944,0.48615,1.44995,0.88849,2.05733,0.00104096,0.00104096,0.00104096
146,21495.8,0.74684,0.45434,1.23553,0.7737,0.77397,0.80924,0.48605,1.44948,0.88806,2.05961,0.0010343,0.0010343,0.0010343
147,21642.6,0.74906,0.45618,1.23497,0.77493,0.7754,0.80913,0.48595,1.44872,0.88865,2.0605,0.00102764,0.00102764,0.00102764
148,21788.7,0.74498,0.45382,1.23022,0.77412,0.77611,0.80968,0.48639,1.44834,0.88962,2.06398,0.00102098,0.00102098,0.00102098
149,21934.5,0.74515,0.45147,1.23315,0.77315,0.77417,0.8092,0.48629,1.44807,0.89074,2.06571,0.00101432,0.00101432,0.00101432
150,22080.8,0.73727,0.44716,1.22524,0.77916,0.77053,0.80963,0.48618,1.44709,0.89099,2.06623,0.00100766,0.00100766,0.00100766
151,22227.1,0.73699,0.44528,1.22606,0.77417,0.77484,0.80976,0.48639,1.44725,0.89135,2.06853,0.001001,0.001001,0.001001
152,22373.8,0.72777,0.44549,1.2124,0.77231,0.77544,0.80868,0.48656,1.44649,0.89211,2.06997,0.00099434,0.00099434,0.00099434
153,22519.9,0.72759,0.43945,1.21706,0.77177,0.77328,0.8077,0.4869,1.4459,0.8924,2.0708,0.00098768,0.00098768,0.00098768
154,22665.8,0.71577,0.43233,1.20509,0.77369,0.77064,0.80789,0.48745,1.44443,0.89144,2.07267,0.00098102,0.00098102,0.00098102
155,22812.4,0.71205,0.4352,1.20041,0.77424,0.77239,0.80849,0.48726,1.44421,0.89307,2.0748,0.00097436,0.00097436,0.00097436
156,22958.7,0.71303,0.43358,1.20252,0.77097,0.77536,0.80808,0.48739,1.44374,0.89255,2.07544,0.0009677,0.0009677,0.0009677
157,23104.8,0.71046,0.43381,1.19966,0.76713,0.77623,0.80777,0.4873,1.44378,0.89252,2.07799,0.00096104,0.00096104,0.00096104
158,23251,0.70905,0.43645,1.19646,0.76674,0.77776,0.8071,0.48769,1.44351,0.89323,2.0789,0.00095438,0.00095438,0.00095438
159,23397.2,0.70671,0.43043,1.19514,0.77855,0.76904,0.80664,0.48743,1.44352,0.89379,2.08208,0.00094772,0.00094772,0.00094772
160,23543.7,0.70516,0.43096,1.19725,0.78283,0.76681,0.80641,0.48734,1.44285,0.89395,2.0825,0.00094106,0.00094106,0.00094106
161,23690.5,0.7019,0.4308,1.18854,0.77952,0.76706,0.80639,0.48731,1.44244,0.89444,2.08403,0.0009344,0.0009344,0.0009344
162,23837.2,0.69576,0.42774,1.18437,0.78067,0.76797,0.80648,0.48713,1.44178,0.89472,2.08421,0.00092774,0.00092774,0.00092774
163,23983.5,0.69539,0.42581,1.18281,0.7738,0.77446,0.80658,0.48674,1.4422,0.89546,2.08568,0.00092108,0.00092108,0.00092108
